hr,name,flamsteed,bayer,bayer_sup,cst,hd,sao,var_id,ra_deg_j2000,dec_deg_j2000,vmag,vmag_code,b_v,sp_type,pm_ra_arcsec,pm_de_arcsec,parallax_arcsec,is_ghost
3780,   Zet1Ant,,Zet,1,Ant,82383,200444,,142.689167,-31.891389,7.0,,0.09,A2V,-0.013,-0.026,0.001,false
3781,   Zet1Ant,,Zet,1,Ant,82384,200445,,142.692083,-31.889444,6.18,,0.03,A0V,0.028,-0.028,0.001,false
3782,  5Xi  Leo,5,Xi,,Leo,82395,98627,4518,142.98625,11.299722,4.97,,1.05,K0-III-IIIb,-0.094,-0.082,0.028,false
3783,,,,,,82406,250591,,142.1275,-66.701944,5.91,,0.01,A0V,-0.033,0.047,,false
3784,,,,,,82419,237042,,142.521667,-51.517222,5.45,,-0.1,B8V,-0.004,0.009,,false
3785,,,,,,82428,155257,,142.912083,-10.552222,6.14,,0.24,F0Vn,0.014,-0.02,,false
3786,   Psi Vel,,Psi,,Vel,82434,221234,4513,142.675,-40.466667,3.6,,0.36,F3IV+F0IV,-0.182,0.073,0.065,false
3787, 32Tau2Hya,32,Tau,2,Hya,82446,136932,,142.995417,-1.185,4.57,,0.1,A3V,-0.012,-0.011,0.027,false
3788,,,,,,82477,155262,,142.9825,-10.370556,6.13,,1.19,K0,-0.086,0.01,,false
3789,   Zet2Ant,,Zet,2,Ant,82513,200459,,142.884167,-31.871944,5.93,,0.26,A9IV,-0.039,0.001,,false
3790,,,,,,82514,200462,,142.887083,-35.715,5.87,,1.29,K4III,0.143,-0.177,-0.004,false
3791,  9    LMi,9,,,LMi,82522,61561,,143.37625,36.486944,6.18,,1.27,gK4,0.031,-0.035,,false
3792,,,,,,82523,80900,,143.32625,28.368056,6.53,,0.12,A3Vnn,-0.044,-0.034,,false
3793,,,,,,82536,237056,4516,142.5975,-58.361667,5.88,,1.7,M2III,-0.031,0.028,,false
3794,,,,,,82543,117757,,143.1725,1.864167,6.11,,0.62,F7IV-V,-0.02,-0.038,,false
3795,   Iot Cha,,Iot,,Cha,82554,258530,,141.037917,-80.786944,5.36,,0.45,F3-5IV,-0.146,0.14,,false
3796,,,,,,82573,155273,,143.085,-19.400278,5.74,,0.14,A5V,-0.036,0.01,,false
3797,,,,,,82582,42924,,143.581667,46.902222,6.52,,0.22,F0V,-0.062,-0.008,,false
3798,,,,,,82610,177619,S Ant,143.077083,-28.628056,6.46,,0.33,A9V,-0.072,0.039,,false
3799, 26    UMa,26,,,UMa,82621,27298,,143.70625,52.051389,4.5,,0.01,A2V,-0.065,-0.035,0.025,false
3800, 10    LMi,10,,,LMi,82635,61570,SU LMi,143.555833,36.3975,4.55,,0.92,G8.5III,0.006,-0.022,,false
3801,,,,,,82638,136945,,143.25875,-8.505278,6.12,,0.98,K0,-0.02,-0.034,,false
3802,,,,,,82660,155281,,143.2325,-13.516944,5.94,,1.5,K5III,-0.008,0.003,,false
3803,,,,,,82668,237067,N Vel,142.805417,-57.034444,3.13,,1.55,K5III,-0.032,0.004,0.022,false
3804,,,,,,82670,80909,,143.49625,23.453889,6.25,,1.46,gK7,-0.052,-0.087,,false
3805,,,,,,82674,136951,,143.33375,-7.19,6.24,,1.17,K0,-0.033,-0.012,,false
3806,,,,,,82685,6915,,144.484167,73.080556,6.42,R,,F2V+F1V,-0.041,-0.026,0.017,false
3807,,,,,,82694,221262,,143.080417,-40.649444,5.35,,0.9,G8III,0.011,-0.012,0.024,false
3808,,,,,,82734,177642,,143.302083,-21.115833,5.01,,1.02,K0IV,-0.02,0.015,0.052,false
3809,,,,,,82741,61578,,143.765833,39.621389,4.81,,0.99,G9.5IIIFe-1,-0.03,0.022,,false
3810,,,,,,82747,177649,,143.359167,-22.863889,5.91,,0.02,A0Vn,-0.049,0.06,,false
3811,,,,,,82780,42931,,143.843333,39.963333,6.76,,0.35,F2V,-0.016,0.012,,false
3812,,,,,,82785,200492,,143.2825,-39.128889,6.43,,0.33,F0IV,-0.029,0.049,,false
3813,,,,,,82858,250611,,142.887083,-66.719444,6.27,,1.35,K1III,-0.027,-0.006,,false
3814, 33    Hya,33,,,Hya,82870,136964,,143.63625,-5.915,5.56,,1.16,K1III,0.011,-0.059,,false
3815, 11    LMi,11,,,LMi,82885,61586,SV LMi,143.915,35.810278,5.41,,0.77,G8V,-0.706,-0.241,0.109,false
3816,,,,,,82901,250614,R Car,143.060833,-62.788889,6.1,,1.43,M6-7IIIep,-0.036,0.02,,false
3817,,,,,,82984,221288,,143.435417,-49.005,5.12,,-0.12,B4IV,-0.016,0.01,0.015,false
3818,  7    Leo,7,,,Leo,83023,98662,,143.970417,14.379722,6.36,,0.01,A1V,-0.038,0.0,0.006,false
3819,,,,,,83058,237107,,143.536667,-51.255278,5.01,,-0.18,B1.5IV,-0.003,0.004,,false
3820,,,,,,83069,61594,4545,144.17875,31.161667,5.56,,1.59,M2IIIa,0.003,-0.039,,false
3821,,,,,,83095,256634,,142.90125,-73.080833,5.47,,1.56,K4III,-0.027,0.001,,false
3822,,,,,,83104,155323,,143.890417,-19.583611,6.31,,0.06,A2V,-0.038,-0.046,,false
3823,,,,,,83108,200531,,143.799167,-35.823889,6.49,,0.42,F7III-IV,-0.072,-0.002,,false
3824,,,,,,83126,14949,,144.86625,67.272222,5.94,,1.52,K5,-0.026,-0.04,,false
3825,,,,,,83183,237117,,143.61125,-59.229444,4.08,,0.01,B5II,-0.012,0.014,,false
3826,  8    Leo,8,,,Leo,83189,98673,,144.260833,16.437778,5.69,,1.25,gK1,-0.014,-0.006,,false
3827, 10    Leo,10,,,Leo,83240,117807,4551,144.302917,6.835833,5.0,,1.05,K1III,-0.06,0.001,0.019,false
3828,,,,,,83261,177738,,144.140417,-24.702778,6.53,,0.38,F2,-0.119,0.06,,false
3829, 42    Lyn,42,,,Lyn,83287,42958,,144.590417,40.239722,5.25,,0.22,F0V,-0.017,0.006,,false
3830,,,,,,83332,177748,,144.250833,-25.296667,5.7,,1.12,gK1,-0.062,0.043,,false
3831,,,,,,83368,221339,IM Vel,144.105417,-48.751389,6.17,,0.27,ApSrEuCr,-0.011,-0.024,0.021,false
3832, 34    Hya,34,,,Hya,83373,137011,,144.464583,-9.424444,6.4,,-0.04,A1V,-0.062,0.002,,false
3833,,,,,,83380,200561,,144.29125,-32.178611,5.63,,1.02,K0III,0.034,-0.02,,false
3834,,,,,,83425,117821,,144.61375,4.649167,4.68,,1.32,K3III,-0.163,-0.051,0.011,false
3835,,,,,,83441,200573,,144.367917,-36.095833,5.98,,1.12,K2III,-0.035,-0.001,,false
3836,,,,,,83446,221344,,144.206667,-49.355278,4.35,,0.17,A5IV-V,-0.125,0.025,0.019,false
3837,,,,,,83465,237144,,144.192917,-52.944167,6.19,,1.05,K0III,-0.12,0.081,,false
3838,,,,,,83489,14966,,145.561667,69.2375,5.69,,1.14,gG9,-0.067,-0.07,,false
3839, 27    UMa,27,,,UMa,83506,6936,,145.738333,72.2525,5.17,,1.04,K0III,-0.026,-0.03,,false
3840,,,,,,83520,237149,,144.30125,-53.668611,5.45,,0.15,A2-3V,-0.054,-0.017,,false
3841,,,,,,83523,250636,,144.02125,-64.950556,6.56,,0.1,A2V,-0.04,0.036,,false
3842,,,,,,83548,221355,,144.50625,-43.191111,5.5,,1.0,G8II,0.032,-0.037,0.02,false
3843,,,,,,83550,6948,,146.378333,78.134722,6.23,,1.35,K2III,0.004,0.003,,false
3844,,,,,,83610,200590,,144.669583,-39.614167,6.7,,0.49,F5,-0.044,-0.062,,false
3845, 35Iot Hya,35,Iot,,Hya,83618,137035,4568,144.964167,-1.142778,3.91,,1.32,K2.5III-IIIbBa0.3,0.049,-0.064,0.026,false
3846, 37    Hya,37,,,Hya,83650,155377,,144.9475,-10.570278,6.31,,-0.03,A0Vn,-0.024,0.005,,false
3847,,,,,,83727,6956,,146.825,79.136667,6.17,,0.25,F0V:,-0.031,-0.021,,false
